acct_id,cust_initials,txn_date,txn_amount,merchant_category,merchant_zip,txn_type,balance_after
1043-3218-1960,AC,2024-03-20,4856.51,Restaurant,66738,credit,49184.08
9083-8637-9402,WN,2024-05-04,2795.68,Groceries,20880,debit,21808.94
3511-6155-9407,RD,2024-12-21,4112.89,Online Shopping,50116,transfer,15979.69
1849-5931-0341,HD,2024-05-18,1467.6,Gas Station,59930,transfer,881.11
5255-3419-2832,OM,2024-04-08,2359.8,Groceries,84387,debit,23897.7
8350-3056-4139,WK,2024-03-18,1897.19,Utilities,65936,credit,2115.23
6724-2388-4969,ML,2024-03-21,2179.19,Online Shopping,18632,payment,12121.91
8710-1226-9166,TO,2024-07-12,563.8,Groceries,73013,debit,6845.68
0184-5146-2704,QY,2024-03-06,2300.22,Healthcare,14448,credit,27675.34
4893-2528-8095,PA,2024-02-10,4476.86,Groceries,48077,transfer,12152.6
4303-9117-1822,VP,2024-12-11,2445.94,Restaurant,22144,debit,46209.26
4896-3834-6578,OD,2024-03-31,2961.01,Travel,08893,debit,9774.75
5098-3930-1031,BK,2024-01-26,3816.39,Healthcare,31696,debit,7528.85
4738-2997-3763,DD,2024-08-28,1862.4,Healthcare,46939,payment,47730.28
6670-1065-1333,RO,2024-02-21,4831.51,Travel,24551,credit,42965.96
4731-7810-8013,FN,2024-06-26,3811.22,Online Shopping,28517,transfer,7834.64
6026-0647-4687,EG,2024-04-18,865.8,Restaurant,08166,debit,36231.43
9805-0097-8820,QC,2024-11-06,3006.39,Online Shopping,09482,payment,19368.5
9136-1939-9091,NV,2024-08-01,562.79,Restaurant,69023,credit,27328.16
5435-3462-4751,AO,2024-08-14,3784.67,Entertainment,74293,transfer,38315.42
1183-8425-1354,FO,2024-10-31,1895.4,Gas Station,92715,credit,43988.0
4980-8412-4118,EI,2024-04-12,4913.36,Healthcare,28108,payment,22606.61
5348-7401-6400,KY,2024-02-17,2450.16,Groceries,34836,payment,23909.06
2786-8011-2805,SR,2024-02-24,1940.74,Restaurant,17205,transfer,9983.46
0450-5331-5869,XE,2024-12-03,4527.26,Healthcare,31530,transfer,39921.48
2260-2563-4216,BP,2024-03-22,1792.71,Gas Station,60833,credit,2320.74
5433-0365-4145,UQ,2024-05-25,4525.02,Utilities,70783,credit,43463.62
5014-2940-1965,XZ,2024-04-24,4408.74,Restaurant,79958,payment,17163.38
8169-3406-0883,LN,2024-01-26,2398.84,Restaurant,87563,credit,2155.14
5951-4846-5648,EG,2024-06-02,599.1,Entertainment,50196,debit,49247.94
2994-6804-4369,TU,2024-04-27,1670.99,Utilities,58406,credit,29842.14
7387-2148-9513,VJ,2024-03-22,1257.52,Restaurant,26601,transfer,11198.6
2003-7917-6936,PM,2024-03-30,1910.55,Online Shopping,86491,credit,33753.8
0163-2870-8317,EZ,2024-06-18,2621.85,Online Shopping,70117,credit,35697.34
8957-9868-7277,IY,2024-03-31,564.1,Entertainment,84080,payment,47541.12
4873-4714-3455,RC,2024-02-20,4914.97,Groceries,30812,payment,19583.33
6231-6658-7603,NM,2024-11-26,2343.25,Utilities,77057,debit,337.7
0967-0546-6889,HP,2024-03-21,4851.54,Travel,57626,payment,38048.3
7065-6272-9806,SS,2024-08-29,1638.88,Online Shopping,11504,credit,4614.21
6272-0465-3755,YM,2024-04-11,3805.94,Groceries,55756,transfer,463.28
4170-8053-1003,GA,2024-08-14,2087.23,Online Shopping,31767,debit,10150.5
2719-3745-2991,YF,2024-12-18,428.56,Online Shopping,14669,transfer,43320.13
9049-6631-9314,VT,2024-10-21,1110.01,Travel,74678,transfer,40356.52
0586-5185-0671,NL,2024-08-19,3111.29,Travel,60759,credit,24430.91
2628-4987-7694,KH,2024-10-30,281.95,Travel,11860,credit,47423.17
4737-9965-0752,PG,2024-05-09,3714.54,Travel,34363,debit,40686.77
5494-8083-1367,RY,2024-03-28,4145.05,Healthcare,62903,payment,49865.53
7701-4363-4957,RQ,2024-05-05,1760.79,Restaurant,98272,payment,6414.83
8557-4443-1351,XR,2024-12-13,1212.3,Online Shopping,90962,credit,15769.27
2337-4989-4134,HL,2024-03-06,4841.73,Utilities,02355,credit,17432.32
8240-0842-7109,JP,2024-06-23,3404.57,Healthcare,45158,credit,34355.28
2047-1167-1902,EZ,2024-07-24,4392.31,Groceries,40325,payment,22333.8
1318-6999-3867,OJ,2024-11-09,1950.89,Online Shopping,56708,debit,32538.51
4990-9133-4123,FR,2024-01-28,2339.6,Travel,00851,transfer,17584.77
6797-4034-4713,IZ,2024-10-15,3543.38,Healthcare,77805,credit,37249.45
3618-3242-1024,TX,2024-10-27,4811.47,Online Shopping,38329,credit,1608.71
7174-6488-7719,BN,2024-09-25,729.2,Entertainment,79630,credit,15353.36
4013-9904-9027,QU,2024-06-10,4540.32,Online Shopping,36959,credit,11114.28
2967-1756-5512,KN,2024-09-10,3249.89,Travel,38278,debit,39282.69
6807-1545-1680,VR,2024-06-17,4917.23,Groceries,07605,debit,21502.09
3859-7703-4824,OW,2024-06-25,21.29,Gas Station,04284,credit,20868.47
9324-8086-1317,DU,2024-10-30,3477.1,Gas Station,65824,credit,29279.67
4846-7737-8263,TQ,2024-09-29,3283.43,Entertainment,18393,debit,9442.08
1465-8404-4997,EO,2024-07-15,1893.44,Restaurant,45737,transfer,35155.52
5886-7533-9636,BK,2024-09-28,3285.09,Entertainment,92936,debit,30299.6
6627-0289-5171,QO,2024-01-06,3609.34,Restaurant,19395,payment,22709.02
6217-4596-1586,KU,2024-09-19,2938.99,Entertainment,64457,debit,436.37
8091-3431-6117,FW,2024-04-19,2651.76,Healthcare,04295,payment,16473.06
0504-5562-3869,VZ,2024-03-06,1314.69,Groceries,23447,transfer,48867.47
1969-3792-3747,IV,2024-01-04,4850.73,Entertainment,61482,debit,35142.65
4821-7594-6474,GM,2024-11-07,2493.74,Gas Station,14480,transfer,2870.66
3695-9440-6409,VY,2024-09-28,4418.89,Restaurant,06929,transfer,35732.41
9743-9533-9421,UU,2024-01-15,453.0,Gas Station,58280,payment,2771.68
0952-1456-2328,LQ,2024-07-02,4518.08,Entertainment,36221,credit,45013.26
2474-5171-2368,LC,2024-10-15,1237.19,Restaurant,02325,transfer,31418.56
4817-5496-5137,AT,2024-11-18,1209.54,Groceries,74085,transfer,35506.96
5931-7461-2004,PD,2024-02-05,4423.18,Groceries,70958,payment,24446.18
2675-8692-6179,NI,2024-01-12,4377.55,Groceries,49067,payment,30727.28
3773-5158-5064,GD,2024-12-12,3098.91,Travel,60101,payment,20419.47
1390-0532-9318,GS,2024-03-19,4630.87,Gas Station,31040,payment,26945.54
5290-4228-4210,EA,2024-05-10,1085.22,Utilities,31687,payment,31639.96
9502-4026-8117,OY,2024-05-12,4601.63,Online Shopping,78313,credit,2409.46
1783-9084-7007,MN,2024-09-07,2042.31,Entertainment,64761,transfer,8279.73
7115-9212-4998,WK,2024-05-19,4260.32,Healthcare,78802,payment,8498.18
8478-9611-8367,HN,2024-05-03,1594.21,Online Shopping,59942,transfer,19660.58
6615-6545-2711,CC,2024-06-06,1209.58,Restaurant,98095,payment,27097.52
5280-9885-1656,XB,2024-12-19,487.27,Travel,79197,debit,35226.83
4519-8327-3158,LD,2024-10-05,785.99,Utilities,75749,credit,8944.25
3689-9809-4024,WY,2024-04-22,2225.56,Restaurant,45042,debit,45156.31
5022-9612-0183,MN,2024-06-14,4407.1,Restaurant,21132,transfer,24360.43
5459-9102-2901,IO,2024-08-29,1746.9,Utilities,64157,debit,49668.17
9764-3815-6149,PQ,2024-08-31,1997.81,Entertainment,06453,transfer,40842.25
3690-0343-2445,DA,2024-06-30,4028.12,Utilities,56947,credit,37080.87
2268-3885-1606,AO,2024-12-02,2633.56,Gas Station,41534,credit,47484.42
9696-6416-0529,OW,2024-12-01,368.95,Travel,12052,transfer,581.44
6136-9681-6453,KY,2024-03-02,538.27,Utilities,67411,credit,4710.85
1883-5523-1243,FT,2024-02-25,4613.49,Travel,86419,debit,6551.54
1277-9979-9552,OC,2024-06-20,184.81,Healthcare,83257,debit,47402.33
4490-5814-7700,LJ,2024-01-29,338.23,Entertainment,12336,credit,110.25
9986-7980-7935,TP,2024-07-01,3664.58,Restaurant,08610,debit,13979.3
7151-8203-7788,TF,2024-05-12,4973.17,Online Shopping,37580,transfer,4214.43
6659-0515-1864,IX,2024-11-06,4994.08,Travel,79498,transfer,21478.28
2519-2546-2914,RM,2024-08-22,3928.89,Online Shopping,43555,credit,48607.81
2816-8505-4235,YP,2024-03-11,228.64,Groceries,18531,credit,6372.04
2141-8880-5929,ME,2024-02-29,2638.23,Healthcare,91313,credit,47747.03
9270-6537-9473,RH,2024-04-22,4651.5,Entertainment,61975,debit,39712.84
3597-7468-8623,ZT,2024-02-20,4655.29,Travel,33269,debit,38457.28
0758-1814-1247,QE,2024-10-30,1545.23,Gas Station,12522,credit,20191.48
3750-6068-5361,LH,2024-01-11,4757.75,Restaurant,13488,payment,46493.53
5220-4727-7901,AI,2024-03-19,4927.28,Restaurant,20098,debit,20608.97
8986-1434-1036,UZ,2024-08-15,3237.91,Travel,08733,debit,29195.96
1798-0893-2460,TL,2024-03-28,587.76,Entertainment,55101,payment,24508.29
2185-1888-8806,PB,2024-08-20,453.83,Restaurant,49430,transfer,19383.6
4051-5319-5205,RK,2024-10-23,3469.53,Entertainment,23450,transfer,38026.52
7722-1704-3030,KJ,2024-07-07,993.82,Groceries,71677,payment,49965.6
7403-4505-4156,MX,2024-06-09,944.95,Travel,51179,debit,19552.86
5277-5841-6169,FR,2024-04-17,4422.09,Groceries,13948,credit,43984.35
1544-7962-7570,XL,2024-08-12,3287.02,Entertainment,57509,credit,13511.66
4016-5820-2970,EC,2024-03-27,2789.65,Groceries,85063,transfer,21713.68
5569-0927-5571,SE,2024-07-12,2742.65,Healthcare,52672,payment,25661.86
5431-0278-6814,YI,2024-09-13,4874.47,Gas Station,28625,debit,45830.93
9473-1217-2715,VL,2024-09-15,2523.16,Online Shopping,72590,debit,32226.89
8442-2583-1323,ZP,2024-01-10,3141.02,Utilities,73117,payment,3954.3
9578-2911-4678,NY,2024-05-29,3077.54,Groceries,75854,payment,18402.91
1251-7785-2892,YE,2024-06-06,3140.27,Groceries,07764,credit,41391.86
1824-2253-5841,IG,2024-08-19,4514.82,Utilities,72700,transfer,13793.47
4249-8182-9922,VT,2024-09-20,4168.07,Travel,79817,credit,27872.88
5900-1094-3969,UA,2024-06-30,4091.89,Groceries,82704,payment,25798.98
8447-3647-1027,NP,2024-06-18,3845.14,Entertainment,45090,payment,35691.0
9255-5625-8815,HO,2024-02-14,2085.74,Restaurant,59430,payment,39076.12
3210-4696-3259,XK,2024-03-10,3962.44,Travel,21386,debit,30773.29
7877-4701-6873,GS,2024-05-08,4791.86,Healthcare,07125,transfer,41990.22
4797-4801-6245,YM,2024-05-13,470.51,Gas Station,53006,debit,29704.55
0983-5841-6878,IT,2024-09-05,2455.47,Travel,16073,transfer,43712.44
2165-5852-3986,QB,2024-01-17,299.33,Restaurant,18462,transfer,28786.25
5787-2982-5952,MT,2024-09-26,1749.6,Groceries,39722,transfer,13650.59
9588-8794-7055,VD,2024-12-23,967.98,Healthcare,77008,transfer,20068.78
4097-4993-0972,QU,2024-09-20,4592.68,Travel,50333,credit,2592.67
2309-1307-5626,WG,2024-05-29,1113.62,Entertainment,80648,transfer,6041.4
7028-3857-8652,OR,2024-05-04,2266.68,Gas Station,46938,transfer,11758.2
